epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,64.8413,0.32447,0.36072,0.90435,0.98302,1,0.995,0.95107,0.30807,0.41919,0.85632,0.0005842,0.0005842,0.0005842
128,65.3592,0.28331,0.42026,0.88659,0.97882,1,0.995,0.95107,0.30907,0.38895,0.8602,0.0005809,0.0005809,0.0005809
129,65.8503,0.27362,0.35092,0.87498,0.97882,1,0.995,0.95107,0.30907,0.38895,0.8602,0.0005776,0.0005776,0.0005776
130,66.4214,0.31077,0.36019,0.90498,0.97882,1,0.995,0.95107,0.30907,0.38895,0.8602,0.0005743,0.0005743,0.0005743
131,66.9192,0.27587,0.37493,0.87539,0.97882,1,0.995,0.95107,0.30907,0.38895,0.8602,0.000571,0.000571,0.000571
132,67.5372,0.34204,0.44913,0.9338,0.9771,1,0.995,0.91232,0.30744,0.45855,0.86017,0.0005677,0.0005677,0.0005677
133,68.0882,0.23413,0.30864,0.86942,0.9771,1,0.995,0.91232,0.30744,0.45855,0.86017,0.0005644,0.0005644,0.0005644
134,68.6104,0.28219,0.33446,0.8561,0.9771,1,0.995,0.91232,0.30744,0.45855,0.86017,0.0005611,0.0005611,0.0005611
135,69.0987,0.2876,0.37132,0.90955,0.9771,1,0.995,0.91232,0.30744,0.45855,0.86017,0.0005578,0.0005578,0.0005578
136,69.6545,0.30744,0.36663,0.87157,0.98064,1,0.995,0.9399,0.28681,0.47268,0.85288,0.0005545,0.0005545,0.0005545
137,70.2532,0.26765,0.3368,0.86178,0.98064,1,0.995,0.9399,0.28681,0.47268,0.85288,0.0005512,0.0005512,0.0005512
138,70.748,0.28467,0.35383,0.89188,0.98064,1,0.995,0.9399,0.28681,0.47268,0.85288,0.0005479,0.0005479,0.0005479
139,71.2448,0.26438,0.37615,0.9152,0.98064,1,0.995,0.9399,0.28681,0.47268,0.85288,0.0005446,0.0005446,0.0005446
140,71.7888,0.30905,0.38587,0.86348,0.9839,1,0.995,0.93991,0.29282,0.46779,0.85266,0.0005413,0.0005413,0.0005413
141,72.2833,0.28893,0.35726,0.90311,0.9839,1,0.995,0.93991,0.29282,0.46779,0.85266,0.000538,0.000538,0.000538
142,72.8303,0.36413,0.41327,0.91687,0.9839,1,0.995,0.93991,0.29282,0.46779,0.85266,0.0005347,0.0005347,0.0005347
143,73.4549,0.27703,0.34718,0.86396,0.9839,1,0.995,0.93991,0.29282,0.46779,0.85266,0.0005314,0.0005314,0.0005314
144,74.0908,0.30935,0.3711,0.88407,0.98508,1,0.995,0.93991,0.2783,0.38352,0.84039,0.0005281,0.0005281,0.0005281
145,74.6124,0.31687,0.37734,0.93593,0.98508,1,0.995,0.93991,0.2783,0.38352,0.84039,0.0005248,0.0005248,0.0005248
146,75.1262,0.28764,0.35529,0.87311,0.98508,1,0.995,0.93991,0.2783,0.38352,0.84039,0.0005215,0.0005215,0.0005215
